model	variable	N	value	sd	se	ci
biased	PostTest_Total_ACC	2	0.7007	0.02927422	0.0207	0.26301844
biased	python.learning.coeff	2	1.2519481	0.07346564	0.05194805	0.66006258
biased	PT_Syntax_ACC	2	0.66	0.02828427	0.02	0.25412409
biased	PT_Semantics_ACC	2	0.7	0.02828427	0.02	0.25412409
biased	RPS.Code	2	28.8333333	5.42115199	3.83333333	48.70711818
biased	MLAT_Total	2	126	2.82842712	2	25.41240947
biased	Ravens	2	9.5	2.12132034	1.5	19.0593071
biased	NDV	2	73	2.82842712	2	25.41240947
biased	wmComposite	2	18.3333333	3.77123617	2.66666667	33.88321263
biased	RspanTotal	2	27.5	2.12132034	1.5	19.0593071
biased	ChooseA.ACC	2	0.625	0.44194174	0.3125	3.97068898
biased	AvoidB.ACC	2	0.78125	0.30935922	0.21875	2.77948229
biased	All.ACC	2	0.7083333	0.03535534	0.025	0.31765512
LTM	PostTest_Total_ACC	15	0.7383391	0.11024238	0.02846446	0.06105019
LTM	python.learning.coeff	15	1.1710823	0.20579248	0.05313539	0.11396408
LTM	PT_Syntax_ACC	15	0.744	0.14326798	0.03699163	0.07933916
LTM	PT_Semantics_ACC	15	0.7226667	0.10525253	0.02717609	0.05828691
LTM	RPS.Code	15	28.3333333	11.84020592	3.05712802	6.55688749
LTM	MLAT_Total	15	118.7333333	20.74493627	5.35631951	11.48816279
LTM	Ravens	15	12.8	2.93257566	0.75718778	1.62400627
LTM	NDV	15	68.0666667	5.41778377	1.39886575	3.00026865
LTM	wmComposite	15	13.9555556	6.02753821	1.55630367	3.3379394
LTM	RspanTotal	15	25.2	4.72379992	1.2196799	2.6159532
LTM	ChooseA.ACC	15	0.7458333	0.22344036	0.05769205	0.12373715
LTM	AvoidB.ACC	15	0.7166667	0.18580584	0.04797486	0.10289584
LTM	All.ACC	15	0.7377778	0.11027863	0.02847382	0.06107027
meta_RL	PostTest_Total_ACC	1	0.56	NA	NA	NaN
meta_RL	python.learning.coeff	1	0.6649351	NA	NA	NaN
meta_RL	PT_Syntax_ACC	1	0.52	NA	NA	NaN
meta_RL	PT_Semantics_ACC	1	0.6	NA	NA	NaN
meta_RL	RPS.Code	1	21.3333333	NA	NA	NaN
meta_RL	MLAT_Total	1	103	NA	NA	NaN
meta_RL	Ravens	1	8	NA	NA	NaN
meta_RL	NDV	1	59	NA	NA	NaN
meta_RL	wmComposite	1	10.3333333	NA	NA	NaN
meta_RL	RspanTotal	1	24	NA	NA	NaN
meta_RL	ChooseA.ACC	1	0.5625	NA	NA	NA
meta_RL	AvoidB.ACC	1	0.125	NA	NA	NA
meta_RL	All.ACC	1	0.3666667	NA	NA	NA
