,0,1,2,3,4,5,6,7,8
0,"[0.36       0.35666667 0.41333333 0.45       0.47333333 0.50333333
 0.59666667 0.61333333 0.72333333 0.7        0.75666667 0.77      ]","[0.32333333 0.39166667 0.43       0.47166667 0.50833333 0.56833333
 0.59166667 0.67666667 0.71333333 0.75       0.81       0.83666667]","          0
0  0.666667
1  1.000000
2  0.666667
3  0.333333","          0
0  0.666667
1  1.000000
2  1.000000
3  0.333333",0.1,1,0.1,0.05,0.3
1,"[0.31       0.40666667 0.42333333 0.48666667 0.50333333 0.50666667
 0.61       0.55666667 0.61333333 0.71333333 0.79333333 0.76      ]","[0.34166667 0.36166667 0.47166667 0.46333333 0.495      0.545
 0.58333333 0.7        0.69333333 0.75333333 0.81166667 0.81666667]","          0
0  0.666667
1  0.666667
2  0.666667
3  0.000000","          0
0  1.000000
1  0.333333
2  1.000000
3  0.666667",0.2,1,0.1,0.05,0.3
2,"[0.30333333 0.34666667 0.42666667 0.45666667 0.48       0.50333333
 0.62666667 0.67       0.67       0.73666667 0.71666667 0.74666667]","[0.345      0.32833333 0.42       0.46666667 0.475      0.59333333
 0.59833333 0.67       0.68       0.74       0.81333333 0.85333333]","     0
0  1.0
1  1.0
2  1.0
3  1.0","          0
0  0.666667
1  0.666667
2  1.000000
3  1.000000",0.3,1,0.1,0.05,0.3
3,"[0.35       0.36333333 0.48333333 0.43       0.48666667 0.57
 0.57333333 0.58333333 0.69       0.7        0.70666667 0.77      ]","[0.35833333 0.39       0.45833333 0.485      0.515      0.59
 0.64       0.68166667 0.69833333 0.77       0.79333333 0.83833333]","          0
0  1.000000
1  0.666667
2  1.000000
3  0.666667","          0
0  0.666667
1  1.000000
2  0.666667
3  1.000000",0.4,1,0.1,0.05,0.3
4,"[0.34666667 0.37333333 0.44666667 0.49333333 0.5        0.60666667
 0.57666667 0.63       0.64666667 0.73333333 0.8        0.79333333]","[0.30333333 0.36666667 0.43833333 0.46333333 0.49833333 0.57666667
 0.62833333 0.66666667 0.69       0.74166667 0.78       0.83833333]","          0
0  0.666667
1  0.666667
2  1.000000
3  0.666667","          0
0  0.666667
1  1.000000
2  1.000000
3  1.000000",0.5,1,0.1,0.05,0.3
5,"[0.31333333 0.36333333 0.39666667 0.44333333 0.48       0.51666667
 0.55       0.61333333 0.64333333 0.68333333 0.72       0.76666667]","[0.31166667 0.40333333 0.42833333 0.48       0.515      0.55666667
 0.64166667 0.68833333 0.71833333 0.77666667 0.78833333 0.85      ]","          0
0  0.666667
1  0.666667
2  0.666667
3  0.666667","          0
0  0.666667
1  1.000000
2  1.000000
3  1.000000",0.1,2,0.1,0.05,0.3
6,"[0.30666667 0.35       0.38666667 0.42       0.48666667 0.51666667
 0.59333333 0.65333333 0.67333333 0.70333333 0.75333333 0.77      ]","[0.3        0.39166667 0.42833333 0.48666667 0.51333333 0.54166667
 0.63666667 0.68333333 0.71666667 0.76166667 0.81       0.82666667]","     0
0  1.0
1  1.0
2  1.0
3  1.0","          0
0  1.000000
1  1.000000
2  1.000000
3  0.666667",0.2,2,0.1,0.05,0.3
7,"[0.34666667 0.38333333 0.40666667 0.49       0.45333333 0.52333333
 0.58666667 0.64       0.71666667 0.73       0.76       0.77666667]","[0.345      0.36       0.44166667 0.49166667 0.50833333 0.57
 0.59833333 0.72666667 0.725      0.76833333 0.8        0.84      ]","          0
0  0.333333
1  0.333333
2  0.333333
3  0.000000","          0
0  0.333333
1  0.666667
2  0.666667
3  1.000000",0.3,2,0.1,0.05,0.3
8,"[0.38       0.36666667 0.41       0.42666667 0.46333333 0.56666667
 0.6        0.63333333 0.67       0.66666667 0.76666667 0.76666667]","[0.35166667 0.34166667 0.44166667 0.43166667 0.48166667 0.595
 0.605      0.67       0.71166667 0.73333333 0.80666667 0.825     ]","          0
0  1.000000
1  0.666667
2  1.000000
3  0.666667","          0
0  1.000000
1  1.000000
2  0.666667
3  1.000000",0.4,2,0.1,0.05,0.3
9,"[0.39333333 0.40666667 0.40333333 0.43333333 0.49333333 0.57
 0.52666667 0.56666667 0.64       0.64333333 0.71333333 0.77      ]","[0.36       0.38666667 0.44333333 0.47166667 0.495      0.59666667
 0.64166667 0.68333333 0.705      0.76333333 0.81166667 0.82166667]","          0
0  0.666667
1  1.000000
2  1.000000
3  1.000000","          0
0  1.000000
1  0.666667
2  1.000000
3  1.000000",0.5,2,0.1,0.05,0.3
10,"[0.37666667 0.36666667 0.47666667 0.43666667 0.53666667 0.50666667
 0.61666667 0.63       0.66       0.68       0.71333333 0.80333333]","[0.315      0.35833333 0.37       0.475      0.48166667 0.54166667
 0.61666667 0.67166667 0.71333333 0.74333333 0.80833333 0.835     ]","          0
0  0.666667
1  1.000000
2  1.000000
3  1.000000","          0
0  0.666667
1  1.000000
2  1.000000
3  1.000000",0.1,3,0.1,0.05,0.3
11,"[0.37333333 0.38       0.46333333 0.42333333 0.53       0.53333333
 0.64       0.62       0.68333333 0.73333333 0.73       0.80666667]","[0.325      0.40166667 0.41166667 0.455      0.5        0.55166667
 0.63666667 0.67666667 0.715      0.71833333 0.785      0.84166667]","          0
0  0.666667
1  0.666667
2  0.666667
3  1.000000","          0
0  1.000000
1  0.666667
2  0.666667
3  1.000000",0.2,3,0.1,0.05,0.3
12,"[0.31       0.33666667 0.38666667 0.47       0.50333333 0.58666667
 0.61       0.62333333 0.69666667 0.7        0.74666667 0.79      ]","[0.32       0.37       0.40166667 0.43       0.52833333 0.54166667
 0.60666667 0.66166667 0.69666667 0.72333333 0.785      0.80166667]","          0
0  1.000000
1  0.666667
2  1.000000
3  1.000000","     0
0  1.0
1  1.0
2  1.0
3  1.0",0.3,3,0.1,0.05,0.3
13,"[0.32666667 0.36666667 0.41666667 0.45       0.49333333 0.57666667
 0.57333333 0.63666667 0.70666667 0.64333333 0.78333333 0.8       ]","[0.305      0.39666667 0.45166667 0.45666667 0.49833333 0.57
 0.595      0.69       0.69333333 0.755      0.80166667 0.85333333]","          0
0  1.000000
1  0.666667
2  0.666667
3  1.000000","          0
0  1.000000
1  1.000000
2  0.333333
3  1.000000",0.4,3,0.1,0.05,0.3
14,"[0.35333333 0.41       0.44333333 0.44       0.48333333 0.54666667
 0.58       0.60666667 0.67       0.68666667 0.71333333 0.72666667]","[0.36333333 0.38833333 0.41333333 0.45166667 0.50166667 0.55666667
 0.615      0.68166667 0.72       0.72833333 0.80666667 0.82833333]","          0
0  0.666667
1  1.000000
2  1.000000
3  0.000000","     0
0  1.0
1  1.0
2  1.0
3  1.0",0.5,3,0.1,0.05,0.3
