subjects,Age,Sex,Notes,learn.python,Highest_Level_Complete,Hint_Use,Forum_Use,SolutionButton_Use,Help_Total,QuizACC_NoRetake,QuizACC_Retake,PT_Semantics_Raw,PT_Semantics_ACC,Old_Semantics_ACC,New_Semantics_ACC,PT_Syntax_Raw,PT_Syntax_ACC,Old_Syntax_ACC,New_Syntax_ACC,PostTest_Total_RAW,PostTest_Total_ACC,RPS-Code,Numeracy,MLAT-1,MLAT-2,MLAT-3,MLAT-4,MLAT-5,MLAT_Total,MLAT_%,LLAMA_B,LLAMA_D,LLAMA_E,LLAMA_F,NDV,NDV_%,Ravens,ChooseA.ACC,AvoidB.ACC,All.ACC,#TrainTrails,Met Criteria,#TestTrials,Lag1_T2|T1,Lag2_T2|T1,Lag3_T2|T1,Lag8_T2|T1,Total RT,Match RT,NonMatch RT,Distractor RT,Total ACC,Match ACC,NonMatch ACC,Distractor ACC,Con RT,Incon RT,Incon-Con RT,Con ACC,Incon ACC,Con-Incon ACC,MathErrorTotal,AccErrorTotal,SpeedErrorTotal,OspanAbsoluteScore,OspanPartialScore,AccErrorTotal,ReadErrorTotal,RspanScore,RspanTotal,SpeedErrorTotal,SymmErrorTotal,AccErrorTotal,SpeedErrorTotal,SspanAbsoluteScore,SspanPartialScore,sEBR,O1_AlphaPeak_Closed,O1_CorrectPeak_Closed,O2_AlphaPeak_Closed,O2_CorrectPeak_Closed
28302,19,F,,0,9,14,12,2,28,0.733333333,0.733333333,14,0.56,0.666666667,0.4,15,0.6,0.461538462,0.75,29,0.58,26.66666667,,38,27,20,18,23,126,65,,,,,65,74,11,0.6875,0.6875,0.7,180,,60,0.6,0.588235294,0.625,0.80952381,1113.276923,1012.545455,1193.411765,1244.066667,0.8125,0.825,0.85,0.75,471.8888889,452.4666667,-19.42222222,1,1,0,2,2,0,18,23,0,0,14,23,0,0,0,0,7,9,37,1,1,1,1
28303,19,F,,1,9,32,23,15,70,0.698,0.698,18,0.72,0.789473684,0.5,16,0.64,0.727272727,0,34,0.68,25.33333333,,42,26,14,18,17,117,50,,,,,67,79,12,0.875,0.75,0.816666667,60,,60,0.777777778,0.333333333,0.1875,0.888888889,954.6388889,786.9166667,1005.736842,1252.705882,0.9125,0.925,0.95,0.85,511.9090909,558.1333333,46.22424242,1,1,0,1,0,1,18,22,2,6,18,21,4,1,1,0,37,41,132,1,1,1,1
28304,29,M,,0,10,15,7,2,24,0.932,0.932,18,0.72,0.772727273,0.333333333,15,0.6,0.608695652,0.5,33,0.66,27.33333333,,43,22,20,17,23,125,60,,,,,59,57,13,0.9375,0.125,0.716666667,120,,60,1,0.869565217,0.833333333,0.958333333,762.3037975,725.55,730.85,872.7894737,1,1,1,1,527.1395349,590.8,63.66046512,1,1,0,4,1,3,13,19,0,0,30,30,0,0,0,0,14,14,15,1,1,1,1
28305,23,F,,1,8,9,5,1,15,0.8825,0.8825,18,0.72,0.789473684,0.5,15,0.6,0.681818182,0,33,0.66,30,,31,23,16,20,24,114,45,,,,,78,98,12,0.5625,0.6875,0.616666667,60,,60,1,0.95,0.791666667,0.833333333,837.6875,761.1071429,838.35,970.875,0.8125,0.725,1,0.8,397.9555556,457.7142857,59.75873016,1,0.933333333,0.066666667,6,5,1,12,15,0,0,24,29,0,1,1,0,5,9,29,1,1,1,1
28306,19,M,,1,13,16,5,1,22,1,1,24,0.96,0.96,0,21,0.84,0.84,0,45,0.9,46.66666667,,43,30,32,32,24,161,97,,,,,73,90,18,1,1,0.933333333,240,,60,1,0.523809524,0.428571429,0.8,1556.760563,1352.794872,1654.631579,2025.615385,0.9,0.975,0.95,0.7,528.0444444,571.9333333,43.88888889,1,1,0,1,0,1,25,25,0,1,30,30,1,2,2,0,9,10,18,1,1,1,1
28307,23,F,,1,11,28,31,1,60,0.856,0.856,17,0.68,0.681818182,0.666666667,19,0.76,0.826086957,0,36,0.72,27.33333333,0.75,42,27,10,24,24,127,65,,,,,72,88,15,0.375,0.75,0.683333333,60,,60,0.75,0.571428571,0.636363636,0.909090909,965.8309859,833.7058824,1032.052632,1145.5,0.9,0.875,0.95,0.9,509.5555556,554.6153846,45.05982906,1,0.933333333,0.066666667,2,1,1,12,22,2,3,24,29,1,0,0,0,5,11,121,1,1,1,1
28308,24,M,,0,11,17,16,8,41,0.89,0.89,17,0.68,0.772727273,0,20,0.8,0.826086957,0.5,37,0.74,36.33333333,0.875,40,29,30,32,24,155,97,,,,,76,95,14,0.5,0.75,0.733333333,60,,60,0.875,0.388888889,0.454545455,0.916666667,1090.073529,1064.833333,1029.1,1267.416667,0.8625,0.9,1,0.65,,,,,,,0,0,0,18,21,3,3,24,26,0,1,1,0,5,10,30,1,1,1,1
28309,20,M,,0,7,15,8,5,28,0.7375,0.7375,13,0.52,0.666666667,0.3,10,0.4,0.461538462,0.333333333,23,0.46,0.333333333,,21,24,19,19,20,103,30,,,,,65,74,7,1,0.5,0.566666667,360,NO,60,0.823529412,0.761904762,0.863636364,0.916666667,1891.967213,1742.833333,1744.75,2566.363636,0.7625,0.75,1,0.55,603.8571429,540.2666667,-63.59047619,1,1,0,1,1,0,25,25,1,2,24,29,1,1,0,1,5,7,32,1,1,1,1
28310,22,M,,1,11,13,9,3,25,0.898,0.898,14,0.56,0.590909091,0.333333333,18,0.72,0.739130435,0.5,32,0.64,33,,43,22,11,21,20,117,50,,,,,65,74,15,0.25,0.9375,0.666666667,60,,60,0.8125,0.75,0.739130435,1,1062.971429,897.6666667,1274.578947,1142.666667,0.9,0.85,0.95,0.95,420.9777778,441.2666667,20.28888889,1,1,0,0,0,0,18,23,0,2,19,24,2,1,1,0,9,13,54,1,1,1,1
28311,18,M,,0,13,13,9,9,31,0.711666667,0.711666667,19,0.76,0.76,0,20,0.8,0.8,0,39,0.78,39,,41,26,22,18,9,116,45,,,,,70,85,14,0.9375,0.6875,0.866666667,360,NO,60,0.833333333,0.666666667,0.714285714,0.904761905,826.3382353,698.8,880.8235294,1047.4375,0.8875,0.875,0.9,0.9,509.0681818,541.2666667,32.19848485,0.977777778,1,-0.022222222,1,1,0,18,22,1,1,19,25,0,1,1,0,9,12,71,1,1,1,2
