subjects,PSS.tot,PSS.choose,PSS.avoid,PSSnTrials,nback_total_acc
6200,0.766666667,0.8125,0.6875,60,0.6375
6201,0.7,0.625,0.5,120,0.8
6202,0.6,0.9375,1,60,0.8125
6204,0.683333333,0.5,0.8125,180,0.9875
6205,0.633333333,1,0.625,360,0.8875
6206,0.566666667,0.625,0.6875,180,0.8125
6207,0.833333333,0.625,0.9375,60,0.8875
6209,0.75,0.75,0.625,240,0.7875
6210,0.783333333,0.5,0.9375,60,0.875
6211,0.616666667,0.875,0.1875,60,0.825
6213,0.55,0.4375,0.5,300,0.9125
6214,0.383333333,0.3125,0.375,60,0.475
6215,0.75,0.9375,0.625,360,0.8125
6216,0.716666667,0.5,0.9375,360,0.575
6217,0.883333333,0.875,0.75,180,0.7875
6218,0.766666667,0.9375,0.6875,360,0.6125
6219,0.3,0.3125,0.0625,60,0.5875
6220,0.533333333,0.0625,0.875,120,0.875
6223,0.766666667,0.75,0.875,120,0.925
6225,0.716666667,0.5,0.625,120,0.9
6226,0.716666667,0.3125,0.8125,60,0.5875
6230,0.766666667,1,0.5625,300,0.775
6231,0.516666667,0.625,0.4375,120,0.8875
6234,0.55,0.3125,0.8125,60,0.8
6235,0.533333333,0.75,0.5625,360,0.6
6238,0.85,1,0.875,360,0.775
6241,0.633333333,0.875,0.3125,300,0.575
6242,0.733333333,0.6875,0.5,300,0.6375
6244,0.5,0.375,0.5625,360,0.7125
6245,0.816666667,0.75,0.75,120,0.8875
6246,0.85,0.6875,1,60,0.9
6247,0.633333333,0.875,0.75,360,0.5125
6250,0.983333333,1,1,360,0.5
6253,0.9,1,1,360,0.5625
6256,0.7,0.4375,0.8125,180,0.9625
