subjects,model,egs,alpha,bll,imag,ans,bias
6200,LTM,NA,NA,0.7,0.1,0.5,NA
6201,LTM,NA,NA,0.7,0.2,0.5,NA
6202,LTM,NA,NA,0.7,0.1,0.3,NA
6204,LTM,NA,NA,0.7,0.1,0.3,NA
6205,LTM,NA,NA,0.6,0.1,0.4,NA
6206,LTM,NA,NA,0.6,0.1,0.5,NA
6207,LTM,NA,NA,0.7,0.1,0.2,NA
6209,LTM,NA,NA,0.7,0.1,0.3,NA
6210,Meta-RL,0.1,0.2,0.6,0.5,0.5,0.3151505828
6211,LTM,NA,NA,0.6,0.2,0.5,NA
6213,Meta-RL,0.1,0.15,0.7,0.1,0.1,0.3182067953
6214,Biased,0.2,0.15,0.7,0.2,0.1,0.2
6215,LTM,NA,NA,0.7,0.1,0.2,NA
6216,LTM,NA,NA,0.7,0.2,0.5,NA
6217,RL,0.1,0.25,NA,NA,NA,NA
6218,Biased,0.1,0.15,0.7,0.3,0.1,0.2
6219,LTM,NA,NA,0.7,0.2,0.5,NA
6220,LTM,NA,NA,0.7,0.1,0.1,NA
6223,Meta-RL,0.1,0.25,0.7,0.3,0.4,0.3221873178
6225,LTM,NA,NA,0.7,0.1,0.2,NA
6226,LTM,NA,NA,0.7,0.1,0.1,NA
6230,Biased,0.2,0.25,0.7,0.5,0.5,0.8
6231,LTM,NA,NA,0.7,0.1,0.2,NA
6234,LTM,NA,NA,0.7,0.1,0.2,NA
6235,Biased,0.4,0.05,0.5,0.1,0.1,0.4
6238,LTM,NA,NA,0.7,0.2,0.5,NA
6241,Meta-RL,0.1,0.1,0.7,0.2,0.1,0.319209714
6242,Meta-RL,0.5,0.25,0.7,0.5,0.2,0.3240772232
6244,Biased,0.1,0.05,0.7,0.3,0.1,0.2
6245,LTM,NA,NA,0.7,0.3,0.3,NA
6246,LTM,NA,NA,0.7,0.2,0.5,NA
6247,Biased,0.2,0.05,0.4,0.1,0.2,0.6
6250,LTM,NA,NA,0.7,0.1,0.1,NA
6253,LTM,NA,NA,0.7,0.2,0.5,NA
6256,LTM,NA,NA,0.7,0.2,0.5,NA
15000,LTM,NA,NA,0.7,0.2,0.5,NA
15001,Meta-RL,0.1,0.25,0.5,0.5,0.2,0.3117700424
15002,Biased,0.4,0.25,0.7,0.1,0.1,0.4
15003,LTM,NA,NA,0.7,0.1,0.1,NA
15004,LTM,NA,NA,0.7,0.1,0.4,NA
15005,Meta-RL,0.3,0.25,0.7,0.2,0.2,0.3241563575
15006,LTM,NA,NA,0.7,0.1,0.1,NA
15007,LTM,NA,NA,0.7,0.1,0.2,NA
15008,LTM,NA,NA,0.7,0.2,0.5,NA
15009,LTM,NA,NA,0.7,0.1,0.4,NA
15010,LTM,NA,NA,0.7,0.2,0.5,NA
15011,LTM,NA,NA,0.7,0.2,0.5,NA
15012,LTM,NA,NA,0.6,0.2,0.5,NA
15013,LTM,NA,NA,0.7,0.3,0.5,NA
15014,RL,0.1,0.25,NA,NA,NA,NA
15015,Biased,0.1,0.1,0.7,0.2,0.5,0.2
15016,Meta-RL,0.3,0.25,0.7,0.2,0.2,0.3241563575
15017,Biased,0.2,0.2,0.7,0.3,0.1,0.4
15019,LTM,NA,NA,0.7,0.1,0.3,NA
15020,LTM,NA,NA,0.7,0.1,0.2,NA
15021,Meta-RL,0.1,0.1,0.7,0.3,0.3,0.319232172
15022,Meta-RL,0.2,0.25,0.7,0.3,0.3,0.3237198017
15023,LTM,NA,NA,0.7,0.2,0.5,NA
28215,Biased,0.1,0.25,0.7,0.5,0.1,0.4
28241,LTM,NA,NA,0.7,0.2,0.5,NA
28242,LTM,NA,NA,0.6,0.2,0.5,NA
28243,LTM,NA,NA,0.7,0.2,0.5,NA
28284,LTM,NA,NA,0.7,0.1,0.2,NA
28303,LTM,NA,NA,0.7,0.2,0.5,NA
28306,RL,0.1,0.25,NA,NA,NA,NA
28307,LTM,NA,NA,0.7,0.1,0.3,NA
28308,LTM,NA,NA,0.7,0.3,0.3,NA
28309,LTM,NA,NA,0.7,0.1,0.1,NA
28325,LTM,NA,NA,0.7,0.1,0.2,NA
28326,LTM,NA,NA,0.7,0.3,0.3,NA
28327,LTM,NA,NA,0.6,0.1,0.3,NA
28328,RL,0.1,0.25,NA,NA,NA,NA
28329,LTM,NA,NA,0.7,0.1,0.1,NA
28330,LTM,NA,NA,0.7,0.2,0.4,NA
28331,LTM,NA,NA,0.7,0.1,0.1,NA
29220,LTM,NA,NA,0.7,0.1,0.2,NA
29221,Biased,0.1,0.25,0.7,0.1,0.4,0.2
29227,LTM,NA,NA,0.7,0.2,0.5,NA
29239,Meta-RL,0.5,0.2,0.7,0.5,0.5,0.3206461364
29240,LTM,NA,NA,0.7,0.1,0.1,NA
29245,LTM,NA,NA,0.6,0.2,0.5,NA
29305,LTM,NA,NA,0.6,0.1,0.1,NA
29318,LTM,NA,NA,0.7,0.1,0.1,NA
