0,1,2,3,4,5,6,7,8
[0.33333333 0.33333333 0.39       0.45       0.45333333 0.53 0.59333333 0.57       0.66666667 0.71333333 0.75       0.76666667],[0.33       0.38833333 0.40166667 0.50333333 0.54666667 0.61166667 0.63       0.665      0.74166667 0.77       0.8        0.83333333],"          0
0  1.000000
1  1.000000
2  0.333333
3  1.000000","          0
0  0.666667
1  1.000000
2  1.000000
3  1.000000",0.1,1,0.1,0.05,0.3
[0.32333333 0.36333333 0.48666667 0.43333333 0.53       0.51666667 0.55666667 0.62       0.66       0.74       0.70666667 0.80333333],[0.33       0.41       0.40666667 0.44333333 0.51       0.555 0.61       0.66166667 0.705      0.73666667 0.78666667 0.82166667],"          0
0  0.666667
1  0.333333
2  0.666667
3  0.666667","     0
0  1.0
1  1.0
2  1.0
3  1.0",0.2,1,0.1,0.05,0.3
[0.31666667 0.42       0.38333333 0.44333333 0.46666667 0.52666667 0.58333333 0.64       0.66333333 0.69666667 0.7        0.81666667],[0.34       0.34666667 0.48       0.49166667 0.5        0.54833333 0.64333333 0.67166667 0.72833333 0.74833333 0.805      0.845     ],"          0
0  1.000000
1  1.000000
2  1.000000
3  0.666667","          0
0  0.666667
1  1.000000
2  1.000000
3  1.000000",0.3,1,0.1,0.05,0.3
[0.33333333 0.35       0.48333333 0.42333333 0.48333333 0.51666667 0.58666667 0.61333333 0.64666667 0.71       0.75666667 0.73333333],[0.30333333 0.39833333 0.43666667 0.48166667 0.51       0.565 0.615      0.69666667 0.69333333 0.73666667 0.73333333 0.80666667],"          0
0  1.000000
1  0.333333
2  1.000000
3  0.666667","     0
0  1.0
1  1.0
2  1.0
3  1.0",0.4,1,0.1,0.05,0.3
[0.34333333 0.36666667 0.41666667 0.41       0.44333333 0.54 0.56       0.62333333 0.70666667 0.71       0.75666667 0.76      ],[0.335      0.35       0.395      0.48       0.50666667 0.58166667 0.58833333 0.63666667 0.71166667 0.73666667 0.83333333 0.82833333],"          0
0  1.000000
1  0.333333
2  1.000000
3  0.666667","     0
0  1.0
1  1.0
2  1.0
3  1.0",0.5,1,0.1,0.05,0.3
[0.33333333 0.35666667 0.43666667 0.42       0.54666667 0.54666667 0.56       0.59333333 0.67666667 0.71666667 0.76       0.81666667],[0.33666667 0.415      0.415      0.53833333 0.56166667 0.60666667 0.61       0.70666667 0.72666667 0.78833333 0.78       0.82833333],"          0
0  1.000000
1  1.000000
2  0.666667
3  1.000000","          0
0  1.000000
1  0.666667
2  1.000000
3  1.000000",0.1,2,0.1,0.05,0.3
[0.33333333 0.4        0.40666667 0.48333333 0.54       0.58333333 0.59       0.65       0.64       0.7        0.71333333 0.81      ],[0.335      0.4        0.42333333 0.455      0.53       0.57833333 0.61       0.61333333 0.69       0.77166667 0.765      0.81833333],"          0
0  0.333333
1  1.000000
2  0.666667
3  0.666667","          0
0  0.666667
1  1.000000
2  1.000000
3  1.000000",0.2,2,0.1,0.05,0.3
[0.31       0.36       0.43       0.44       0.51333333 0.56666667 0.61333333 0.62333333 0.65       0.69       0.72       0.79666667],[0.31333333 0.39166667 0.45166667 0.445      0.51333333 0.59166667 0.64333333 0.64833333 0.70333333 0.75333333 0.79166667 0.82833333],"          0
0  0.666667
1  1.000000
2  0.666667
3  1.000000","     0
0  1.0
1  1.0
2  1.0
3  1.0",0.3,2,0.1,0.05,0.3
[0.32666667 0.33666667 0.39       0.43666667 0.51       0.51666667 0.51       0.61333333 0.69333333 0.67       0.72       0.8       ],[0.355      0.38833333 0.415      0.505      0.49666667 0.53333333 0.595      0.65333333 0.70166667 0.77166667 0.81666667 0.85666667],"          0
0  1.000000
1  1.000000
2  1.000000
3  0.666667","          0
0  1.000000
1  1.000000
2  0.666667
3  1.000000",0.4,2,0.1,0.05,0.3
[0.33666667 0.38       0.43       0.47       0.51666667 0.56 0.56666667 0.66       0.67666667 0.69       0.73666667 0.75      ],[0.30333333 0.36       0.42166667 0.49333333 0.51       0.55833333 0.61166667 0.65       0.70166667 0.77833333 0.805      0.83833333],"          0
0  0.666667
1  1.000000
2  0.666667
3  1.000000","          0
0  0.666667
1  0.666667
2  1.000000
3  1.000000",0.5,2,0.1,0.05,0.3
