subject,acc,RT,Code,seq,actionseq,timeseq,trial
6200,0,0.844315399997868,2,1,1,1,39
6200,1,0.81670630001463,2,2,2,2,39
6200,0,0.766405899892561,3,3,2,3,39
6200,0,0.741630999953486,1,3,2,4,39
6200,0,0.862276999978349,3,1,1,5,39
6200,1,0.714210600010119,2,3,2,6,39
6200,1,0.37971040001139,2,2,2,7,39
6200,1,0.570899900048971,1,1,1,8,39
6200,1,0.546238400042057,2,2,2,9,39
6200,1,0.683082800009288,1,1,1,10,39
6200,1,0.429609999991953,2,2,2,11,39
6200,1,0.71467080002185,2,3,2,12,39
6200,1,0.804045800003223,2,3,2,13,39
6200,1,1.46639820002019,2,2,2,14,39
6200,1,1.17369500000495,1,1,1,15,39
6200,1,0.437003799946979,2,2,2,16,39
6200,1,0.417436599964276,2,3,2,17,39
6200,1,0.430983400088735,1,1,1,18,39
6200,1,0.411715299938805,2,3,2,19,39
6200,1,0.409659800003283,2,2,2,20,39
6200,1,0.423415099969134,1,1,1,21,39
6200,0,0.333009899943136,2,1,1,22,39
6200,1,0.845589200034738,2,3,2,23,39
6200,1,0.578358799917623,1,1,1,24,39
6200,1,0.481828200048767,2,2,2,25,39
6200,1,0.892125099897385,2,2,2,26,39
6200,1,0.73502310004551,2,3,2,27,39
6200,1,0.591297199949622,2,2,2,28,39
6200,1,0.35003199998755,1,1,1,29,39
6200,1,0.382203600020148,2,3,2,30,39
6200,1,0.500751600018702,2,3,2,31,39
6200,1,0.439032100024633,2,2,2,32,39
6200,1,0.467715899925679,2,3,2,33,39
6200,0,0.342713800026104,2,1,1,34,39
6200,1,0.487629399984144,2,2,2,35,39
6200,0,0.434235200053081,2,1,1,36,39
6200,1,0.527019800036214,1,1,1,37,39
6200,1,0.560035099973902,2,3,2,38,39
6200,1,0.520036099944264,2,2,2,39,39
6200,0,0.978229900007136,2,1,1,40,78
6200,0,0.865503899985924,2,2,1,41,78
6200,1,0.668989100027829,2,3,2,42,78
6200,-1,-1,-1,4,2,43,78
6200,1,0.95438670006115,3,5,3,44,78
6200,0,1.42634440003894,1,6,3,45,78
6200,0,1.2315897999797,3,1,1,46,78
6200,0,1.31641369999852,2,5,3,47,78
6200,0,1.18932549993042,1,4,2,48,78
6200,0,0.892051300033927,1,3,2,49,78
6200,0,1.03874650003854,3,2,1,50,78
6200,1,1.06759940006305,2,3,2,51,78
6200,0,1.01496569998562,1,4,2,52,78
6200,0,1.34012129995972,1,6,3,53,78
6200,1,0.644722400000319,3,6,3,54,78
6200,0,0.953345900052227,3,2,1,55,78
6200,0,0.945594600052573,3,1,1,56,78
6200,1,0.866262699943036,3,5,3,57,78
6200,1,0.893460800056346,1,1,1,58,78
6200,1,1.45630259998143,1,2,1,59,78
6200,-1,-1,-1,3,2,60,78
6200,1,1.35043659992516,2,4,2,61,78
6200,1,0.902064700028859,3,5,3,62,78
6200,0,1.30420989997219,1,6,3,63,78
6200,1,1.02606970001943,1,2,1,64,78
6200,0,0.703540500020608,1,5,3,65,78
6200,1,1.34573820000514,2,3,2,66,78
6200,0,1.12216469994746,1,6,3,67,78
6200,0,0.827561000012793,1,4,2,68,78
6200,-1,-1,-1,1,1,69,78
6200,0,0.938993999967352,3,4,2,70,78
6200,1,0.379569199983962,2,4,2,71,78
6200,1,0.914806400076486,1,2,1,72,78
6200,1,0.844465700094588,3,6,3,73,78
6200,1,0.392806999967434,3,5,3,74,78
6200,0,1.31150069995783,1,3,2,75,78
6200,1,1.10575160000008,1,1,1,76,78
6200,0,1.25127339991741,1,6,3,77,78
6200,-1,-1,-1,3,2,78,78
6200,1,1.20162519998848,3,5,3,79,78
6200,1,1.27163089998066,1,2,1,80,78
6200,1,0.802617299952544,2,4,2,81,78
6200,1,0.816708399914205,1,2,1,82,78
6200,0,1.0302670999663,3,1,1,83,78
6200,1,0.723067000042647,1,1,1,84,78
6200,1,0.71597640006803,3,5,3,85,78
6200,1,0.549768400029279,2,3,2,86,78
6200,0,0.813667700043879,1,6,3,87,78
6200,1,0.45889500004705,3,6,3,88,78
6200,1,0.534571700030938,3,5,3,89,78
6200,0,0.799245899892412,1,4,2,90,78
6200,1,0.773697600001469,2,3,2,91,78
6200,1,0.797122900024988,1,2,1,92,78
6200,1,0.795103299897164,2,3,2,93,78
6200,0,1.23339479998685,2,1,1,94,78
6200,-1,-1,-1,2,1,95,78
6200,1,1.17642819997855,3,5,3,96,78
6200,1,0.943355800001882,1,1,1,97,78
6200,1,0.736011500004679,2,4,2,98,78
6200,1,0.824825900024734,3,6,3,99,78
6200,0,0.85427350003738,1,4,2,100,78
6200,1,0.76230109995231,3,5,3,101,78
6200,1,1.15504250000231,2,3,2,102,78
